   	TRIM(CITY_CODE)
1	MIZ
2	MJG
3	MJH
4	MJI
5	LRR
6	LSB
7	LSD
8	LSF
9	LUF
10	LUK
11	LUS
12	LUT
13	LUY
14	LVA
15	LVL
16	LVM
17	NEN
18	MYL
19	MYO
20	MZA
21	MZE
22	MZJ
23	MZM
24	MZQ
25	MZS
26	MZU
27	MZY
28	NAB
29	NAC
30	NAF
31	NAJ
32	NPA
33	NPO
34	NPP
35	NPU
36	NQA
37	NQI
38	NQT
39	NTR
40	NTU
41	NTX
42	NUG
43	NUH
44	NUN
45	NUQ
46	NUU
47	NUW
48	NVD
49	NVG
50	NVP
51	NVS
52	NWH
53	NWP
54	NWS
55	NWU
56	NXX
57	NYG
58	NZA
59	NZC
60	NZO
61	NZW
62	NZY
63	OAR
64	OBA
65	OBE
66	OBI
67	OBK
68	OBL
69	MSB
70	MSF
71	MSI
72	MSK
73	MSM
74	MTA
75	MTC
76	MTD
77	MTN
78	MTU
79	MTX
80	MUD
81	MUI
82	MUL
83	MUO
84	MUP
85	MUQ
86	MUS
87	MUT
88	MUU
89	MUV
90	MUY
91	MVC
92	MVE
93	MVG
94	MVI
95	MVK
96	MVW
97	MWB
98	MWC
99	MWK
100	MWL
101	MWM
102	MWN
103	MWO
104	MWP
105	MWR
106	MWS
107	MXA
108	MXC
109	MXD
110	MXE
111	MXF
112	MXI
113	MXO
114	MXP
115	MXQ
116	MXV
117	MXW
118	MQW
119	MQY
120	MRB
121	MRC
122	MRF
123	MRH
124	MRI
125	MRJ
126	MRL
127	MRN
128	MRP
129	MRT
130	MRW
131	MRX
132	NAV
133	NAX
134	NBA
135	NBG
136	NBH
137	QBV
138	QBW
139	QBX
140	QBY
141	QBZ
142	QCA
143	QCB
144	QCC
145	QCD
146	QCE
147	PHH
148	PHK
149	PHM
150	PHN
151	PHP
152	PHT
153	PHU
154	QFX
155	QNE
156	QNF
157	QNG
158	QNH
159	QNI
160	QNJ
161	QNK
162	QNL
163	QNM
164	QNN
165	QNO
166	QNP
167	QNQ
168	QNR
169	QNS
170	QNT
171	QNU
172	QNV
173	QNW
174	QNX
175	QNY
176	QNZ
177	QOA
178	QOB
179	QOC
180	QOD
181	QOE
182	QOF
183	QOG
184	QOH
185	QOI
186	QIM
187	QIN
188	QOJ
189	QOK
190	QOL
191	QOM
192	QON
193	QOO
194	QOP
195	QOQ
196	QOR
197	QOS
198	QOT
199	QCF
200	QCG
201	QCH
202	QCI
203	QCJ
204	QCK
205	QCL
206	QCM
207	QCN
208	QCO
209	QCP
210	QCQ
211	QCR
212	QCS
213	QCT
214	QCU
215	QCV
216	QCW
217	QCX
218	QCY
219	QCZ
220	QDA
221	QDB
222	QDC
223	QDD
224	QDE
225	QDF
226	QDG
227	QDH
228	QDI
229	QDJ
230	QDK
231	QDM
232	QDN
233	QDO
234	QDP
235	QDQ
236	QDR
237	QDS
238	QDT
239	QDU
240	QDV
241	QDW
242	QDX
243	QDY
244	QDZ
245	QEA
246	QEB
247	QEC
248	QED
249	QEE
250	QEF
251	QEG
252	QEH
253	QEI
254	QEJ
255	QEK
256	QEL
257	QEM
258	QEO
259	QEP
260	QEQ
261	QER
262	QET
263	QEU
264	QEV
265	QEW
266	QEX
267	QEY
268	QEZ
269	QFA
270	QFB
271	QFC
272	QFD
273	QFE
274	PAQ
275	PAX
276	PBA
277	PBG
278	PGB
279	PGC
280	PGG
281	PGL
282	PGN
283	PGO
284	PGP
285	PGR
286	PHA
287	PHD
288	PZK
289	PZL
290	QAC
291	QFY
292	QFZ
293	QGA
294	QGB
295	QGC
296	QGD
297	QGE
298	QGF
299	QGG
300	QGH
301	QGI
302	QGJ
303	QGK
304	QGL
305	QGM
306	QGN
307	QGO
308	QGP
